Equity_LargeCap,Equity_MidCap,Equity_SmallCap,Debt_Govt,Debt_Corporate,Gold,International,REIT,Commodities,Cash,portfolio_id,customer_id,risk_profile,investment_horizon_years,expected_return,expected_volatility,sharpe_ratio
0.25449407033218613,0.004721803922461761,0.06990120588001775,0.014746006521731777,0.005316737718407417,0.07877175221580147,0.35204697934060564,0.01514481704973901,0.13809766165624765,0.06675896536280168,PORT400000,CUST104285,Aggressive,15,10.59,13.1,0.541
0.0032428662058557054,5.572352914773527e-07,0.0039333480049880175,0.24527165855653285,0.06745424991691655,0.5287187997999118,0.09946325617245756,0.005134045339386498,0.022182557590858784,0.02459866117780096,PORT400001,CUST102327,Aggressive,3,8.29,9.73,0.492
0.1625170803614671,0.22088863636192607,0.005163315887568733,0.024778406621238973,0.018636533260293724,0.07744642255712146,0.0026478450299157455,0.22224518725262257,0.001325211680968516,0.2643513609868771,PORT400002,CUST104087,Moderate,10,9.76,10.17,0.616
0.004945633642016184,0.36069187660554075,0.015525012371577019,0.04211571714593681,0.0024823938782130377,0.16607232107219114,0.007378582427267801,0.12351128502303073,0.2519561066926892,0.025321071141537168,PORT400003,CUST102662,Aggressive,2,10.88,14.96,0.493
0.002003880430802199,0.07424787053208506,0.11114201096981176,0.012986101289474907,0.000225650802394966,0.10923102724466043,0.0032603084112060687,0.001761506025783534,0.42961823107670155,0.2555234132170795,PORT400004,CUST107292,Aggressive,3,8.24,12.96,0.366
0.10894723734863122,0.11490056833757982,0.28016253644850153,0.11199723198624152,0.018043926393380476,0.05385849382851171,0.004674073360532493,0.04471789224267369,0.04176659113586711,0.2209314489180806,PORT400005,CUST107057,Aggressive,7,11.26,13.18,0.589
0.6313119771475468,0.004042116707079102,0.02958845009316754,0.12962425057569407,0.007080781476005796,0.00043771408964024826,0.0007259254496056594,0.019253811548582883,0.1744608627929297,0.0034741101197481336,PORT400006,CUST102376,Conservative,7,11.74,14.57,0.566
0.08402797458098073,0.2573144517066658,0.03217802139701758,0.0040575946128141235,0.0011160845924549879,0.094457797008371,0.32004185294135895,0.07527596167943529,0.09136994219158248,0.04016031928931907,PORT400007,CUST101805,Conservative,15,11.38,14.03,0.562
0.5404957124294775,0.059297423801831145,0.026580972098048015,0.012157747917852502,0.09959424421398567,0.02317549100186907,0.2140443307733717,2.6976891293622305e-05,0.0009423926681260188,0.023684708204144957,PORT400008,CUST101782,Conservative,7,12.31,13.82,0.637
0.4720314871155647,0.036574472859973305,0.0979916781023665,0.0017287791430006711,0.1003978009108938,0.0807919803882994,0.000854335458753984,0.05910345919064697,0.15052118316815463,4.823662345815964e-06,PORT400009,CUST107420,Aggressive,3,12.06,14.37,0.596
0.011171573341012323,0.041497608058209005,0.0008402264509870192,0.008147665580470188,0.014211463240294464,0.3072253483115657,0.19696334127512033,0.11801932894904218,0.22502862373547847,0.07689482105782021,PORT400010,CUST100204,Conservative,5,8.58,11.64,0.436
